g = [('a', -19), ('b', -20), ('a', 7), ('b', -19), ('a', -4), ('b', -10), ('a', 11), ('b', 20), ('a', 1), ('b', -1), ('a', -9), ('b', 7), ('a', -15), ('b', -15), ('a', 9), ('b', -15), ('a', 6), ('b', -9), ('a', -6), ('b', 10)] n=50, fixed words = 171803146192394079920121
g = [('b', -3), ('a', -20), ('b', 6), ('a', 7), ('b', 17), ('a', -12), ('b', -11), ('a', 20), ('b', -8), ('a', 12), ('b', 11), ('a', 16), ('b', 10), ('a', 15), ('b', -6), ('a', -5), ('b', -16), ('a', 13), ('b', -19), ('a', 20)] n=50, fixed words = 262610684191008930676419
g = [('b', -11), ('a', 1), ('b', 16), ('a', -14), ('b', -1), ('a', -4), ('b', 15), ('a', -20), ('b', -1), ('a', 15), ('b', 9), ('a', -12), ('b', 10), ('a', 5), ('b', -6), ('a', -2), ('b', -7), ('a', -17), ('b', -3), ('a', -1)] n=50, fixed words = 267516167722524052974936
g = [('a', 20), ('b', 4), ('a', -8), ('b', 2), ('a', -17), ('b', -10), ('a', 13), ('b', 15), ('a', -17), ('b', 11), ('a', 1), ('b', 11), ('a', -1), ('b', 15), ('a', 4), ('b', -16), ('a', -10), ('b', 9), ('a', -5), ('b', -6)] n=50, fixed words = 171803146192394079920121
g = [('b', -19), ('a', -19), ('b', -6), ('a', -19), ('b', 17), ('a', -7), ('b', 11), ('a', 16), ('b', 7), ('a', -6), ('b', 5), ('a', -18), ('b', -4), ('a', -18), ('b', -4), ('a', 20), ('b', -5), ('a', -11), ('b', -18), ('a', -13)] n=50, fixed words = 272632282182806517960912
g = [('a', -1), ('b', -14), ('a', 16), ('b', 11), ('a', 9), ('b', 18), ('a', 14), ('b', 7), ('a', -5), ('b', -3), ('a', -20), ('b', 9), ('a', -19), ('b', 17), ('a', 12), ('b', 19), ('a', -7), ('b', -17), ('a', 12), ('b', 11)] n=50, fixed words = 171803146192394079920121
g = [('b', -13), ('a', -13), ('b', 20), ('a', 16), ('b', 2), ('a', 8), ('b', 19), ('a', 12), ('b', -15), ('a', 15), ('b', -9), ('a', 4), ('b', -20), ('a', 3), ('b', -14), ('a', 16), ('b', 9), ('a', 2), ('b', 11), ('a', 19)] n=50, fixed words = 171803146192394079920121
g = [('a', -4), ('b', -7), ('a', -12), ('b', -14), ('a', -4), ('b', -1), ('a', 20), ('b', -4), ('a', -9), ('b', 12), ('a', -8), ('b', -8), ('a', 9), ('b', -19), ('a', -7), ('b', 12), ('a', 8), ('b', 12), ('a', -20), ('b', 8)] n=50, fixed words = 563598027500027164483743
g = [('b', 20), ('a', -18), ('b', 9), ('a', 19), ('b', 10), ('a', -14), ('b', 18), ('a', 2), ('b', -1), ('a', 16), ('b', 10), ('a', 11), ('b', -3), ('a', 17), ('b', -3), ('a', -6), ('b', 3), ('a', -14), ('b', 5), ('a', -11)] n=50, fixed words = 171803146192394079920121
g = [('b', 7), ('a', -10), ('b', 17), ('a', -12), ('b', -6), ('a', 8), ('b', 4), ('a', 20), ('b', -8), ('a', -8), ('b', -3), ('a', 18), ('b', -19), ('a', 19), ('b', -7), ('a', 12), ('b', -8), ('a', 20), ('b', 14), ('a', -20)] n=50, fixed words = 308829225540255773149431
g = [('b', -15), ('a', 6), ('b', 18), ('a', -14), ('b', 7), ('a', 16), ('b', 12), ('a', 9), ('b', -16), ('a', -9), ('b', -6), ('a', -13), ('b', 14), ('a', -10), ('b', -12), ('a', -3), ('b', -1), ('a', -9), ('b', -16), ('a', -20)] n=50, fixed words = 262610684191008930676419
g = [('b', 18), ('a', 9), ('b', -12), ('a', 19), ('b', -7), ('a', 9), ('b', -8), ('a', -1), ('b', 8), ('a', -6), ('b', 2), ('a', -15), ('b', -1), ('a', 7), ('b', 20), ('a', -5), ('b', -6), ('a', -9), ('b', -15), ('a', -13)] n=50, fixed words = 171803146192394079920121
g = [('a', 17), ('b', -7), ('a', -16), ('b', 10), ('a', 2), ('b', 9), ('a', -7), ('b', 20), ('a', 1), ('b', -17), ('a', 13), ('b', -3), ('a', 20), ('b', -20), ('a', -19), ('b', 11), ('a', -14), ('b', -9), ('a', -1), ('b', -19)] n=50, fixed words = 171803146192394079920121
g = [('a', 13), ('b', 10), ('a', 15), ('b', 15), ('a', -19), ('b', 8), ('a', 8), ('b', -7), ('a', 16), ('b', -5), ('a', 6), ('b', 11), ('a', -16), ('b', 9), ('a', 6), ('b', 10), ('a', 12), ('b', 11), ('a', -16), ('b', -4)] n=50, fixed words = 171803146192394079920121
g = [('b', -3), ('a', 18), ('b', -16), ('a', -8), ('b', 3), ('a', -2), ('b', -4), ('a', 17), ('b', -3), ('a', 12), ('b', -1), ('a', 2), ('b', -10), ('a', 17), ('b', 13), ('a', 7), ('b', 18), ('a', -9), ('b', -4), ('a', 11)] n=50, fixed words = 171803146192394079920121
g = [('a', 16), ('b', 14), ('a', -4), ('b', 12), ('a', 9), ('b', -4), ('a', 17), ('b', -13), ('a', -7), ('b', 14), ('a', -15), ('b', -7), ('a', 8), ('b', -10), ('a', -6), ('b', -2), ('a', -5), ('b', -17), ('a', 18), ('b', -14)] n=50, fixed words = 327931831578211332970842
g = [('a', -5), ('b', -8), ('a', 11), ('b', -13), ('a', 1), ('b', 3), ('a', 8), ('b', -3), ('a', -8), ('b', 12), ('a', -6), ('b', 11), ('a', 14), ('b', 4), ('a', 4), ('b', -9), ('a', -18), ('b', -11), ('a', -20), ('b', -6)] n=50, fixed words = 171803146192394079920121
g = [('b', -20), ('a', 9), ('b', -20), ('a', -18), ('b', -20), ('a', -2), ('b', -9), ('a', -7), ('b', -16), ('a', -3), ('b', 3), ('a', -4), ('b', -15), ('a', 1), ('b', 6), ('a', -5), ('b', 4), ('a', -4), ('b', 18), ('a', -13)] n=50, fixed words = 269390792563698728424402
g = [('b', 17), ('a', -12), ('b', -16), ('a', -11), ('b', -5), ('a', -8), ('b', -10), ('a', 6), ('b', -7), ('a', -10), ('b', -12), ('a', 7), ('b', -2), ('a', -1), ('b', -19), ('a', 5), ('b', 15), ('a', -11), ('b', -14), ('a', -12)] n=50, fixed words = 171803146192394079920121
g = [('a', -17), ('b', -7), ('a', -17), ('b', -2), ('a', 9), ('b', 8), ('a', 4), ('b', -14), ('a', -4), ('b', 5), ('a', 1), ('b', 15), ('a', -15), ('b', 4), ('a', 14), ('b', 12), ('a', 14), ('b', 2), ('a', -5), ('b', -11)] n=50, fixed words = 270347426989687423469493
g = [('a', -18), ('b', -5), ('a', 18), ('b', -4), ('a', 8), ('b', 4), ('a', -6), ('b', -11), ('a', 3), ('b', -15), ('a', 19), ('b', 10), ('a', 9), ('b', -15), ('a', -10), ('b', -14), ('a', 8), ('b', -4), ('a', -18), ('b', 5)] n=50, fixed words = 171803146192394079920121
g = [('b', -6), ('a', -8), ('b', -19), ('a', 13), ('b', -6), ('a', -3), ('b', -18), ('a', -1), ('b', -14), ('a', 7), ('b', -5), ('a', -9), ('b', -16), ('a', -1), ('b', 2), ('a', -15), ('b', 14), ('a', -17), ('b', -11), ('a', -6)] n=50, fixed words = 171803146192394079920121
g = [('b', 9), ('a', 1), ('b', -14), ('a', 7), ('b', 20), ('a', -4), ('b', -2), ('a', 9), ('b', 5), ('a', 13), ('b', 18), ('a', 18), ('b', 1), ('a', -5), ('b', -18), ('a', 15), ('b', 9), ('a', -7), ('b', 16), ('a', -10)] n=50, fixed words = 171803146192394079920121
g = [('b', 20), ('a', 18), ('b', 5), ('a', 4), ('b', 18), ('a', -19), ('b', -11), ('a', 13), ('b', 11), ('a', 15), ('b', 10), ('a', -10), ('b', -7), ('a', 3), ('b', -13), ('a', -15), ('b', -4), ('a', -6), ('b', -8), ('a', -2)] n=50, fixed words = 272659493233583525714112
g = [('a', -16), ('b', 16), ('a', -19), ('b', -10), ('a', 11), ('b', 11), ('a', 4), ('b', -9), ('a', -4), ('b', 1), ('a', -1), ('b', -16), ('a', -13), ('b', 6), ('a', -8), ('b', 7), ('a', 11), ('b', 11), ('a', 17), ('b', -8)] n=50, fixed words = 522860242381456404335175
g = [('a', 7), ('b', -16), ('a', -17), ('b', -16), ('a', 13), ('b', 19), ('a', -6), ('b', 20), ('a', 8), ('b', 14), ('a', -2), ('b', 11), ('a', -14), ('b', -8), ('a', -10), ('b', -11), ('a', 20), ('b', -16), ('a', 18), ('b', -6)] n=50, fixed words = 303807850397869964922234
g = [('a', -5), ('b', -14), ('a', 9), ('b', 1), ('a', 8), ('b', -5), ('a', 19), ('b', 19), ('a', -20), ('b', -15), ('a', -15), ('b', -1), ('a', -8), ('b', 14), ('a', -14), ('b', 9), ('a', -13), ('b', -1), ('a', -19), ('b', -1)] n=50, fixed words = 274277350598653593679761
g = [('b', 14), ('a', -3), ('b', -4), ('a', -14), ('b', -8), ('a', -5), ('b', 8), ('a', -19), ('b', -4), ('a', 8), ('b', 17), ('a', 6), ('b', 12), ('a', -5), ('b', 2), ('a', -7), ('b', 16), ('a', 7), ('b', 15), ('a', 17)] n=50, fixed words = 262610684191008930676419
g = [('a', -6), ('b', 6), ('a', -20), ('b', 3), ('a', 11), ('b', -1), ('a', 3), ('b', -1), ('a', 5), ('b', 13), ('a', 12), ('b', 12), ('a', -13), ('b', 2), ('a', -15), ('b', -20), ('a', -2), ('b', -6), ('a', -18), ('b', -17)] n=50, fixed words = 319304278074615701531229
g = [('b', -11), ('a', -11), ('b', -9), ('a', 2), ('b', 9), ('a', 10), ('b', 12), ('a', 15), ('b', 8), ('a', 5), ('b', -2), ('a', -17), ('b', 5), ('a', -18), ('b', 19), ('a', 13), ('b', 14), ('a', -15), ('b', -8), ('a', 18)] n=50, fixed words = 171803146192394079920121
g = [('b', 9), ('a', -6), ('b', 9), ('a', -15), ('b', 7), ('a', 3), ('b', -10), ('a', -16), ('b', 15), ('a', -15), ('b', -12), ('a', -4), ('b', 15), ('a', 20), ('b', -14), ('a', 1), ('b', 5), ('a', 19), ('b', -1), ('a', -13)] n=50, fixed words = 171803146192394079920121
g = [('a', 15), ('b', -8), ('a', -8), ('b', 13), ('a', -5), ('b', -13), ('a', -12), ('b', -14), ('a', 10), ('b', -2), ('a', 20), ('b', 20), ('a', -10), ('b', -13), ('a', 14), ('b', -1), ('a', -15), ('b', -3), ('a', 1), ('b', 4)] n=50, fixed words = 171803146192394079920121
g = [('a', -6), ('b', 4), ('a', 17), ('b', -5), ('a', 8), ('b', 19), ('a', -2), ('b', 16), ('a', -19), ('b', 1), ('a', 2), ('b', 3), ('a', -4), ('b', 4), ('a', -3), ('b', 6), ('a', -12), ('b', 11), ('a', 2), ('b', -9)] n=50, fixed words = 171803146192394079920121
g = [('b', 16), ('a', 6), ('b', 18), ('a', -5), ('b', 15), ('a', -5), ('b', -5), ('a', -1), ('b', -14), ('a', 6), ('b', 5), ('a', -4), ('b', -12), ('a', -16), ('b', 13), ('a', 10), ('b', 20), ('a', 8), ('b', 17), ('a', 5)] n=50, fixed words = 171803146192394079920121
g = [('a', -15), ('b', -16), ('a', -15), ('b', 4), ('a', -20), ('b', 2), ('a', -6), ('b', 20), ('a', -18), ('b', 14), ('a', -7), ('b', -15), ('a', 12), ('b', 10), ('a', 19), ('b', 15), ('a', 15), ('b', -4), ('a', 11), ('b', -8)] n=50, fixed words = 270347426989687423469493
g = [('b', -9), ('a', -8), ('b', 10), ('a', -18), ('b', 10), ('a', 6), ('b', -15), ('a', 18), ('b', 5), ('a', 8), ('b', -3), ('a', -13), ('b', 8), ('a', -11), ('b', -6), ('a', 3), ('b', 19), ('a', 19), ('b', -12), ('a', 18)] n=50, fixed words = 171803146192394079920121
g = [('a', 1), ('b', 3), ('a', 4), ('b', -12), ('a', -4), ('b', 13), ('a', 7), ('b', -9), ('a', 20), ('b', 7), ('a', -7), ('b', -5), ('a', 1), ('b', -3), ('a', 2), ('b', -7), ('a', 3), ('b', 15), ('a', 12), ('b', -5)] n=50, fixed words = 410387176890461647501335
g = [('a', -15), ('b', -11), ('a', -8), ('b', -6), ('a', -18), ('b', 16), ('a', 1), ('b', 2), ('a', 15), ('b', -1), ('a', -14), ('b', -18), ('a', 6), ('b', 15), ('a', 11), ('b', 10), ('a', 3), ('b', 18), ('a', 11), ('b', 8)] n=50, fixed words = 272623252163002363485243
g = [('a', -8), ('b', 8), ('a', -9), ('b', -13), ('a', -7), ('b', 8), ('a', 8), ('b', 3), ('a', -14), ('b', 8), ('a', -4), ('b', -10), ('a', 9), ('b', 7), ('a', 11), ('b', -2), ('a', 14), ('b', 11), ('a', 14), ('b', 2)] n=50, fixed words = 171803146192394079920121
g = [('a', -10), ('b', -17), ('a', -15), ('b', -6), ('a', -3), ('b', -5), ('a', 10), ('b', 9), ('a', -18), ('b', 7), ('a', -8), ('b', -20), ('a', -17), ('b', -4), ('a', 3), ('b', 4), ('a', -13), ('b', -10), ('a', -18), ('b', -14)] n=50, fixed words = 171803146192394079920121
g = [('b', -17), ('a', -19), ('b', -7), ('a', -8), ('b', 1), ('a', -7), ('b', -15), ('a', 11), ('b', 10), ('a', -12), ('b', 9), ('a', 14), ('b', -18), ('a', -13), ('b', 18), ('a', -10), ('b', 4), ('a', -15), ('b', 2), ('a', 14)] n=50, fixed words = 306343154868779283494175
g = [('b', 4), ('a', -14), ('b', -9), ('a', 8), ('b', 17), ('a', -12), ('b', 6), ('a', -16), ('b', -6), ('a', 11), ('b', -14), ('a', -7), ('b', 18), ('a', 1), ('b', -12), ('a', 10), ('b', -17), ('a', -15), ('b', -18), ('a', -9)] n=50, fixed words = 171803146192394079920121
g = [('a', 12), ('b', -3), ('a', -8), ('b', -9), ('a', -17), ('b', -9), ('a', 6), ('b', 12), ('a', -1), ('b', 6), ('a', 2), ('b', -6), ('a', -17), ('b', 10), ('a', 20), ('b', -3), ('a', -5), ('b', 10), ('a', -14), ('b', -19)] n=50, fixed words = 171803146192394079920121
g = [('a', -19), ('b', 16), ('a', -13), ('b', -4), ('a', -11), ('b', 2), ('a', -12), ('b', 9), ('a', -7), ('b', -12), ('a', -12), ('b', -11), ('a', -20), ('b', 5), ('a', -9), ('b', -20), ('a', 2), ('b', -8), ('a', 10), ('b', -20)] n=50, fixed words = 171803146192394079920121
g = [('a', -11), ('b', -15), ('a', -17), ('b', 20), ('a', -7), ('b', 19), ('a', -7), ('b', -18), ('a', -7), ('b', 12), ('a', 11), ('b', -6), ('a', 11), ('b', 7), ('a', -5), ('b', -15), ('a', 7), ('b', -15), ('a', 14), ('b', 16)] n=50, fixed words = 171803146192394079920121
g = [('b', -3), ('a', -15), ('b', 1), ('a', 17), ('b', 13), ('a', 16), ('b', 10), ('a', 20), ('b', 14), ('a', -15), ('b', 8), ('a', 8), ('b', -14), ('a', 8), ('b', -5), ('a', 5), ('b', -7), ('a', -16), ('b', 10), ('a', -16)] n=50, fixed words = 486510319609893013999518
g = [('a', -14), ('b', 10), ('a', -5), ('b', 7), ('a', 8), ('b', 10), ('a', 14), ('b', -17), ('a', 17), ('b', -17), ('a', 15), ('b', 2), ('a', -9), ('b', 11), ('a', -10), ('b', 3), ('a', 6), ('b', -16), ('a', -12), ('b', -15)] n=50, fixed words = 171803146192394079920121
g = [('a', 18), ('b', 7), ('a', 3), ('b', -8), ('a', -6), ('b', -17), ('a', 7), ('b', -13), ('a', 5), ('b', -10), ('a', 8), ('b', -13), ('a', -4), ('b', -12), ('a', 18), ('b', 14), ('a', -16), ('b', -5), ('a', -14), ('b', -11)] n=50, fixed words = 171803146192394079920121
g = [('a', -17), ('b', -15), ('a', 12), ('b', -6), ('a', -5), ('b', -6), ('a', -20), ('b', 20), ('a', -18), ('b', -12), ('a', -1), ('b', 14), ('a', -7), ('b', -2), ('a', -1), ('b', -5), ('a', 7), ('b', 1), ('a', -2), ('b', -10)] n=50, fixed words = 269244948316766989925808
g = [('b', 15), ('a', 3), ('b', 3), ('a', 7), ('b', -16), ('a', -14), ('b', -8), ('a', -18), ('b', -2), ('a', -18), ('b', 17), ('a', -10), ('b', -13), ('a', 1), ('b', -6), ('a', 12), ('b', 13), ('a', -17), ('b', 3), ('a', -9)] n=50, fixed words = 470132327211579154864449
g = [('b', -18), ('a', 1), ('b', 1), ('a', -2), ('b', 7), ('a', 10), ('b', 20), ('a', -5), ('b', -2), ('a', -10), ('b', 18), ('a', 18), ('b', -8), ('a', 10), ('b', 20), ('a', -4), ('b', 11), ('a', 7), ('b', 1), ('a', -11)] n=50, fixed words = 171803146192394079920121
g = [('a', -17), ('b', 5), ('a', 17), ('b', 5), ('a', 18), ('b', 16), ('a', -1), ('b', 18), ('a', 10), ('b', 13), ('a', -16), ('b', -14), ('a', 4), ('b', 9), ('a', 1), ('b', 13), ('a', 15), ('b', -1), ('a', 15), ('b', -8)] n=50, fixed words = 171803146192394079920121
g = [('a', 7), ('b', -15), ('a', -9), ('b', 8), ('a', -14), ('b', 9), ('a', -14), ('b', -10), ('a', 13), ('b', 4), ('a', 16), ('b', -11), ('a', 8), ('b', 19), ('a', -4), ('b', -19), ('a', -12), ('b', -19), ('a', -18), ('b', -18)] n=50, fixed words = 326293842288128244321393
g = [('a', 10), ('b', 7), ('a', 17), ('b', -13), ('a', -9), ('b', 14), ('a', 15), ('b', 15), ('a', -6), ('b', 9), ('a', -14), ('b', -10), ('a', 2), ('b', 20), ('a', -9), ('b', 12), ('a', -2), ('b', -10), ('a', -14), ('b', 16)] n=50, fixed words = 262610684191008930676419
g = [('a', -9), ('b', -16), ('a', 15), ('b', -18), ('a', -11), ('b', 17), ('a', -6), ('b', -19), ('a', 1), ('b', -20), ('a', -11), ('b', -10), ('a', -20), ('b', 3), ('a', 3), ('b', 18), ('a', 18), ('b', 5), ('a', -14), ('b', -20)] n=50, fixed words = 262610684191008930676419
g = [('b', -4), ('a', 10), ('b', -15), ('a', 17), ('b', 16), ('a', 7), ('b', 8), ('a', 18), ('b', 10), ('a', -7), ('b', 10), ('a', 12), ('b', -4), ('a', -15), ('b', -16), ('a', 15), ('b', 9), ('a', -6), ('b', 10), ('a', -17)] n=50, fixed words = 274998547263508269664932
g = [('a', 20), ('b', -13), ('a', -12), ('b', 10), ('a', -3), ('b', 3), ('a', -3), ('b', -6), ('a', -14), ('b', -15), ('a', 12), ('b', 8), ('a', 16), ('b', 18), ('a', 10), ('b', -12), ('a', 11), ('b', 5), ('a', 4), ('b', -17)] n=50, fixed words = 171803146192394079920121
g = [('a', -8), ('b', -15), ('a', 13), ('b', 16), ('a', -17), ('b', 1), ('a', 20), ('b', -9), ('a', 18), ('b', 18), ('a', 12), ('b', -20), ('a', -20), ('b', -13), ('a', 16), ('b', -14), ('a', 10), ('b', 15), ('a', 3), ('b', 17)] n=50, fixed words = 171803146192394079920121
g = [('a', -6), ('b', -16), ('a', -17), ('b', 15), ('a', -3), ('b', 15), ('a', 7), ('b', 11), ('a', 12), ('b', 6), ('a', -4), ('b', -9), ('a', -10), ('b', 14), ('a', -4), ('b', -2), ('a', 3), ('b', 17), ('a', -5), ('b', 13)] n=50, fixed words = 326901884684894424303984
g = [('a', 9), ('b', -15), ('a', -17), ('b', -16), ('a', -8), ('b', -16), ('a', -1), ('b', 19), ('a', 14), ('b', 9), ('a', -14), ('b', 20), ('a', -5), ('b', 20), ('a', -6), ('b', 11), ('a', 13), ('b', -8), ('a', -4), ('b', 9)] n=50, fixed words = 274257700639665055810704
g = [('a', -3), ('b', -4), ('a', -8), ('b', 4), ('a', 20), ('b', -20), ('a', -6), ('b', 8), ('a', 20), ('b', 17), ('a', -8), ('b', 1), ('a', 8), ('b', -19), ('a', 6), ('b', 1), ('a', -8), ('b', -20), ('a', 8), ('b', 16)] n=50, fixed words = 171803146192394079920121
g = [('b', 12), ('a', 9), ('b', -17), ('a', -6), ('b', 4), ('a', 19), ('b', 9), ('a', -19), ('b', -10), ('a', 10), ('b', 16), ('a', -14), ('b', 6), ('a', 18), ('b', 15), ('a', -3), ('b', -2), ('a', -7), ('b', -5), ('a', -4)] n=50, fixed words = 262610684191008930676419
g = [('a', 20), ('b', 4), ('a', 4), ('b', -19), ('a', -19), ('b', -20), ('a', 17), ('b', 18), ('a', -13), ('b', 10), ('a', -13), ('b', -19), ('a', -14), ('b', 1), ('a', 8), ('b', 20), ('a', 8), ('b', -11), ('a', -4), ('b', 19)] n=50, fixed words = 409206533836881824465328
g = [('b', 6), ('a', -12), ('b', -16), ('a', -5), ('b', -18), ('a', 14), ('b', 13), ('a', -19), ('b', 13), ('a', 8), ('b', 15), ('a', 20), ('b', 6), ('a', 1), ('b', 16), ('a', 15), ('b', 12), ('a', -3), ('b', -14), ('a', -11)] n=50, fixed words = 272566702509912087525720
g = [('b', 11), ('a', 9), ('b', 11), ('a', -10), ('b', -5), ('a', 14), ('b', -20), ('a', -15), ('b', -11), ('a', -13), ('b', -5), ('a', -15), ('b', 12), ('a', -13), ('b', 6), ('a', -17), ('b', -13), ('a', 6), ('b', -8), ('a', -20)] n=50, fixed words = 171803146192394079920121
g = [('a', -17), ('b', 19), ('a', -17), ('b', -6), ('a', 9), ('b', 3), ('a', 15), ('b', -9), ('a', 2), ('b', -9), ('a', 10), ('b', -2), ('a', 12), ('b', 15), ('a', 11), ('b', -16), ('a', 1), ('b', 12), ('a', 20), ('b', 10)] n=50, fixed words = 171803146192394079920121
g = [('a', 1), ('b', 11), ('a', 9), ('b', 2), ('a', 9), ('b', -16), ('a', 4), ('b', 12), ('a', -7), ('b', -3), ('a', -15), ('b', 2), ('a', 7), ('b', -5), ('a', -5), ('b', -2), ('a', 3), ('b', -15), ('a', -10), ('b', -13)] n=50, fixed words = 320726326435940841226965
g = [('b', 2), ('a', -20), ('b', 7), ('a', -13), ('b', 3), ('a', -10), ('b', -6), ('a', 3), ('b', -19), ('a', 2), ('b', -4), ('a', 2), ('b', -7), ('a', -17), ('b', -7), ('a', -9), ('b', 8), ('a', 14), ('b', 7), ('a', -4)] n=50, fixed words = 171803146192394079920121
g = [('a', 20), ('b', 2), ('a', -3), ('b', 1), ('a', -5), ('b', 16), ('a', -1), ('b', 17), ('a', -3), ('b', 6), ('a', -16), ('b', 15), ('a', 5), ('b', 16), ('a', -5), ('b', -3), ('a', 14), ('b', 8), ('a', -8), ('b', 17)] n=50, fixed words = 171803146192394079920121
g = [('b', -7), ('a', 10), ('b', -11), ('a', 14), ('b', 5), ('a', 1), ('b', 18), ('a', 6), ('b', -11), ('a', 9), ('b', 19), ('a', -8), ('b', -10), ('a', 11), ('b', 9), ('a', 6), ('b', 19), ('a', -3), ('b', 10), ('a', -4)] n=50, fixed words = 262610684191008930676419
g = [('b', -20), ('a', -4), ('b', -14), ('a', -9), ('b', -8), ('a', -6), ('b', -17), ('a', -11), ('b', 4), ('a', 14), ('b', 16), ('a', 2), ('b', 20), ('a', 16), ('b', -14), ('a', 14), ('b', 5), ('a', -11), ('b', -8), ('a', -2)] n=50, fixed words = 469570152691087831431522
g = [('b', -5), ('a', -3), ('b', -5), ('a', 17), ('b', -6), ('a', -13), ('b', -9), ('a', -19), ('b', -15), ('a', -14), ('b', -9), ('a', 12), ('b', -3), ('a', -11), ('b', 12), ('a', 7), ('b', 3), ('a', 10), ('b', -17), ('a', -13)] n=50, fixed words = 580155848867985188865264
g = [('b', -14), ('a', -19), ('b', -1), ('a', -2), ('b', 12), ('a', -5), ('b', -12), ('a', 10), ('b', 7), ('a', 2), ('b', -1), ('a', 8), ('b', 15), ('a', -19), ('b', -6), ('a', 1), ('b', -1), ('a', -5), ('b', 5), ('a', 1)] n=50, fixed words = 171803146192394079920121
g = [('a', 9), ('b', -7), ('a', 9), ('b', 5), ('a', 9), ('b', -14), ('a', -4), ('b', -1), ('a', -10), ('b', -16), ('a', 19), ('b', -5), ('a', 11), ('b', 10), ('a', 9), ('b', -13), ('a', -17), ('b', 2), ('a', 17), ('b', 8)] n=50, fixed words = 171803146192394079920121
g = [('a', 20), ('b', -1), ('a', -5), ('b', 3), ('a', -13), ('b', -12), ('a', 20), ('b', -13), ('a', -12), ('b', 11), ('a', 15), ('b', 2), ('a', 13), ('b', -8), ('a', 5), ('b', 2), ('a', 10), ('b', 13), ('a', -10), ('b', -19)] n=50, fixed words = 171803146192394079920121
g = [('a', -4), ('b', -18), ('a', 12), ('b', 18), ('a', -18), ('b', 6), ('a', -2), ('b', -7), ('a', 9), ('b', -13), ('a', 1), ('b', -13), ('a', 1), ('b', 18), ('a', -12), ('b', 19), ('a', -17), ('b', -11), ('a', -18), ('b', 4)] n=50, fixed words = 412751775849164799240411
g = [('b', 5), ('a', -15), ('b', 1), ('a', -16), ('b', 4), ('a', 15), ('b', 19), ('a', 12), ('b', 3), ('a', 2), ('b', -12), ('a', 11), ('b', -10), ('a', -9), ('b', -6), ('a', 14), ('b', -1), ('a', 20), ('b', 2), ('a', -16)] n=50, fixed words = 303867145474024917251529
g = [('b', 11), ('a', 11), ('b', 4), ('a', 1), ('b', 19), ('a', -9), ('b', -19), ('a', -11), ('b', 3), ('a', 17), ('b', -2), ('a', 14), ('b', 17), ('a', 9), ('b', 11), ('a', -7), ('b', 2), ('a', -11), ('b', 15), ('a', -5)] n=50, fixed words = 311653002866418048999348
g = [('b', -14), ('a', -10), ('b', 17), ('a', -20), ('b', 7), ('a', 10), ('b', 14), ('a', -11), ('b', -2), ('a', 4), ('b', -1), ('a', 14), ('b', -8), ('a', -9), ('b', 2), ('a', 9), ('b', 9), ('a', -15), ('b', -15), ('a', -16)] n=50, fixed words = 319179542724161661459438
g = [('b', 7), ('a', -4), ('b', -11), ('a', 17), ('b', 5), ('a', 2), ('b', -3), ('a', 6), ('b', -11), ('a', 2), ('b', -18), ('a', 15), ('b', 20), ('a', 8), ('b', -19), ('a', -18), ('b', 7), ('a', 17), ('b', 6), ('a', -3)] n=50, fixed words = 269365652435740007118357
g = [('a', -6), ('b', -9), ('a', 20), ('b', -6), ('a', 18), ('b', 18), ('a', 17), ('b', -14), ('a', 19), ('b', 2), ('a', 20), ('b', 1), ('a', 20), ('b', -5), ('a', 10), ('b', -11), ('a', 14), ('b', 2), ('a', -17), ('b', -17)] n=50, fixed words = 267507262484509553493381
g = [('b', 11), ('a', 20), ('b', 4), ('a', -10), ('b', -19), ('a', -16), ('b', -10), ('a', -12), ('b', 7), ('a', -19), ('b', -1), ('a', -8), ('b', 11), ('a', 14), ('b', 7), ('a', 19), ('b', -13), ('a', 15), ('b', 18), ('a', -19)] n=50, fixed words = 274940961817256410873464
g = [('b', 20), ('a', 17), ('b', -2), ('a', 12), ('b', 1), ('a', 7), ('b', 20), ('a', 15), ('b', -8), ('a', 1), ('b', 16), ('a', -10), ('b', -15), ('a', 6), ('b', 2), ('a', 13), ('b', 4), ('a', 14), ('b', -19), ('a', 20)] n=50, fixed words = 171803146192394079920121
g = [('b', -2), ('a', -1), ('b', 16), ('a', -8), ('b', 20), ('a', -3), ('b', -5), ('a', 3), ('b', 10), ('a', 14), ('b', 16), ('a', -4), ('b', 15), ('a', 13), ('b', -10), ('a', 9), ('b', -5), ('a', 16), ('b', -11), ('a', 19)] n=50, fixed words = 171803146192394079920121
g = [('a', 6), ('b', 9), ('a', -13), ('b', 13), ('a', -3), ('b', 12), ('a', 9), ('b', 5), ('a', -5), ('b', -1), ('a', 15), ('b', 18), ('a', 10), ('b', 6), ('a', 2), ('b', -17), ('a', 18), ('b', 6), ('a', 9), ('b', -7)] n=50, fixed words = 272602876124445424278462
g = [('b', 1), ('a', 1), ('b', -16), ('a', -5), ('b', 16), ('a', -7), ('b', 3), ('a', 3), ('b', 14), ('a', -16), ('b', 1), ('a', 1), ('b', 3), ('a', -20), ('b', -11), ('a', -5), ('b', 15), ('a', 13), ('b', 5), ('a', 15)] n=50, fixed words = 171803146192394079920121
